"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","446","Check the login functionality with blank username and password","chromium","Thu May 01 03:19:07 GMT 2025","passed","Thu May 01 03:19:07 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","397","Check the login functionality with accepted usernames and passwords","chromium","Thu May 01 03:19:05 GMT 2025","passed","Thu May 01 03:19:06 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","514","Check user should be able to add an inventory to the cart","chromium","Thu May 01 03:19:10 GMT 2025","passed","Thu May 01 03:19:10 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","438","Check the login functionality with invalid usernames and valid passwords","chromium","Thu May 01 03:19:06 GMT 2025","passed","Thu May 01 03:19:07 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","433","Check whether product sort option AZ is working correctly","chromium","Thu May 01 03:19:09 GMT 2025","passed","Thu May 01 03:19:09 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","449","Check whether product sort option ZA is working correctly","chromium","Thu May 01 03:19:09 GMT 2025","passed","Thu May 01 03:19:10 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","427","Check the login functionality with blank username and some password","chromium","Thu May 01 03:19:07 GMT 2025","passed","Thu May 01 03:19:08 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","540","Check user should be able to remove an inventory to the cart","chromium","Thu May 01 03:19:10 GMT 2025","passed","Thu May 01 03:19:11 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","428","Check whether product sort option low to high is working correctly","chromium","Thu May 01 03:19:08 GMT 2025","passed","Thu May 01 03:19:09 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","437","Check whether product sort option high to low is working correctly","chromium","Thu May 01 03:19:09 GMT 2025","passed","Thu May 01 03:19:09 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","439","Check the login functionality with some username and blank password","chromium","Thu May 01 03:19:08 GMT 2025","passed","Thu May 01 03:19:08 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","804","User should be able to see added item in my shopping cart page","chromium","Thu May 01 03:19:03 GMT 2025","passed","Thu May 01 03:19:04 GMT 2025","Cart Swag Lab","cart.spec.ts","",""
"","447","Check the login functionality with valid usernames and invalid passwords","chromium","Thu May 01 03:19:06 GMT 2025","passed","Thu May 01 03:19:06 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","807","User should be able to checkout and complete purchase","chromium","Thu May 01 03:19:05 GMT 2025","passed","Thu May 01 03:19:05 GMT 2025","Checkout Swag Lab","checkout.spec.ts","",""
