"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 09:20:54 GMT 2024","Tue Oct 22 09:20:55 GMT 2024","505","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with invalid usernames and valid passwords",""
"passed","Tue Oct 22 09:20:57 GMT 2024","Tue Oct 22 09:20:57 GMT 2024","506","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option high to low is working correctly",""
"passed","Tue Oct 22 09:20:58 GMT 2024","Tue Oct 22 09:20:59 GMT 2024","602","chromium","product.spec.ts","Produc Swag Lab","","","Check user should be able to add an inventory to the cart",""
"passed","Tue Oct 22 09:20:59 GMT 2024","Tue Oct 22 09:21:00 GMT 2024","640","chromium","product.spec.ts","Produc Swag Lab","","","Check user should be able to remove an inventory to the cart",""
"passed","Tue Oct 22 09:20:55 GMT 2024","Tue Oct 22 09:20:56 GMT 2024","491","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with blank username and some password",""
"passed","Tue Oct 22 09:20:56 GMT 2024","Tue Oct 22 09:20:56 GMT 2024","489","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with some username and blank password",""
"passed","Tue Oct 22 09:20:56 GMT 2024","Tue Oct 22 09:20:57 GMT 2024","520","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option low to high is working correctly",""
"passed","Tue Oct 22 09:20:52 GMT 2024","Tue Oct 22 09:20:53 GMT 2024","856","chromium","checkout.spec.ts","Checkout Swag Lab","","","User should be able to checkout and complete purchase",""
"passed","Tue Oct 22 09:20:55 GMT 2024","Tue Oct 22 09:20:55 GMT 2024","497","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with blank username and password",""
"passed","Tue Oct 22 09:20:53 GMT 2024","Tue Oct 22 09:20:54 GMT 2024","480","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with accepted usernames and passwords",""
"passed","Tue Oct 22 09:20:57 GMT 2024","Tue Oct 22 09:20:58 GMT 2024","534","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option AZ is working correctly",""
"passed","Tue Oct 22 09:20:54 GMT 2024","Tue Oct 22 09:20:54 GMT 2024","513","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with valid usernames and invalid passwords",""
"passed","Tue Oct 22 09:20:58 GMT 2024","Tue Oct 22 09:20:58 GMT 2024","518","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option ZA is working correctly",""
"passed","Tue Oct 22 09:20:51 GMT 2024","Tue Oct 22 09:20:52 GMT 2024","885","chromium","cart.spec.ts","Cart Swag Lab","","","User should be able to see added item in my shopping cart page",""
