"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 02:52:06 GMT 2024","Thu Oct 24 02:52:07 GMT 2024","430","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with blank username and password",""
"passed","Thu Oct 24 02:52:07 GMT 2024","Thu Oct 24 02:52:08 GMT 2024","407","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with some username and blank password",""
"passed","Thu Oct 24 02:52:05 GMT 2024","Thu Oct 24 02:52:06 GMT 2024","404","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with valid usernames and invalid passwords",""
"passed","Thu Oct 24 02:52:08 GMT 2024","Thu Oct 24 02:52:08 GMT 2024","512","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option high to low is working correctly",""
"passed","Thu Oct 24 02:52:10 GMT 2024","Thu Oct 24 02:52:10 GMT 2024","542","chromium","product.spec.ts","Produc Swag Lab","","","Check user should be able to remove an inventory to the cart",""
"passed","Thu Oct 24 02:52:08 GMT 2024","Thu Oct 24 02:52:08 GMT 2024","431","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option low to high is working correctly",""
"passed","Thu Oct 24 02:52:04 GMT 2024","Thu Oct 24 02:52:05 GMT 2024","771","chromium","checkout.spec.ts","Checkout Swag Lab","","","User should be able to checkout and complete purchase",""
"passed","Thu Oct 24 02:52:05 GMT 2024","Thu Oct 24 02:52:05 GMT 2024","400","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with accepted usernames and passwords",""
"passed","Thu Oct 24 02:52:07 GMT 2024","Thu Oct 24 02:52:07 GMT 2024","409","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with blank username and some password",""
"passed","Thu Oct 24 02:52:09 GMT 2024","Thu Oct 24 02:52:10 GMT 2024","505","chromium","product.spec.ts","Produc Swag Lab","","","Check user should be able to add an inventory to the cart",""
"passed","Thu Oct 24 02:52:06 GMT 2024","Thu Oct 24 02:52:06 GMT 2024","408","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with invalid usernames and valid passwords",""
"passed","Thu Oct 24 02:52:03 GMT 2024","Thu Oct 24 02:52:04 GMT 2024","840","chromium","cart.spec.ts","Cart Swag Lab","","","User should be able to see added item in my shopping cart page",""
"passed","Thu Oct 24 02:52:08 GMT 2024","Thu Oct 24 02:52:09 GMT 2024","444","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option AZ is working correctly",""
"passed","Thu Oct 24 02:52:09 GMT 2024","Thu Oct 24 02:52:09 GMT 2024","421","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option ZA is working correctly",""
