"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 02:54:43 GMT 2024","Tue Oct 29 02:54:43 GMT 2024","482","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option ZA is working correctly",""
"passed","Tue Oct 29 02:54:42 GMT 2024","Tue Oct 29 02:54:42 GMT 2024","476","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option high to low is working correctly",""
"passed","Tue Oct 29 02:54:39 GMT 2024","Tue Oct 29 02:54:40 GMT 2024","509","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with invalid usernames and valid passwords",""
"passed","Tue Oct 29 02:54:43 GMT 2024","Tue Oct 29 02:54:44 GMT 2024","536","chromium","product.spec.ts","Produc Swag Lab","","","Check user should be able to add an inventory to the cart",""
"passed","Tue Oct 29 02:54:39 GMT 2024","Tue Oct 29 02:54:39 GMT 2024","520","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with valid usernames and invalid passwords",""
"passed","Tue Oct 29 02:54:40 GMT 2024","Tue Oct 29 02:54:41 GMT 2024","442","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with blank username and some password",""
"passed","Tue Oct 29 02:54:41 GMT 2024","Tue Oct 29 02:54:42 GMT 2024","458","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option low to high is working correctly",""
"passed","Tue Oct 29 02:54:38 GMT 2024","Tue Oct 29 02:54:39 GMT 2024","481","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with accepted usernames and passwords",""
"passed","Tue Oct 29 02:54:44 GMT 2024","Tue Oct 29 02:54:44 GMT 2024","575","chromium","product.spec.ts","Produc Swag Lab","","","Check user should be able to remove an inventory to the cart",""
"passed","Tue Oct 29 02:54:38 GMT 2024","Tue Oct 29 02:54:38 GMT 2024","863","chromium","checkout.spec.ts","Checkout Swag Lab","","","User should be able to checkout and complete purchase",""
"passed","Tue Oct 29 02:54:41 GMT 2024","Tue Oct 29 02:54:41 GMT 2024","443","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with some username and blank password",""
"passed","Tue Oct 29 02:54:36 GMT 2024","Tue Oct 29 02:54:37 GMT 2024","796","chromium","cart.spec.ts","Cart Swag Lab","","","User should be able to see added item in my shopping cart page",""
"passed","Tue Oct 29 02:54:42 GMT 2024","Tue Oct 29 02:54:43 GMT 2024","472","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option AZ is working correctly",""
"passed","Tue Oct 29 02:54:40 GMT 2024","Tue Oct 29 02:54:40 GMT 2024","490","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with blank username and password",""
