"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","501","Check user should be able to add an inventory to the cart","chromium","Tue Apr 29 03:09:24 GMT 2025","passed","Tue Apr 29 03:09:25 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","429","Check whether product sort option ZA is working correctly","chromium","Tue Apr 29 03:09:24 GMT 2025","passed","Tue Apr 29 03:09:24 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","483","Check the login functionality with valid usernames and invalid passwords","chromium","Tue Apr 29 03:09:20 GMT 2025","passed","Tue Apr 29 03:09:21 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","430","Check the login functionality with blank username and password","chromium","Tue Apr 29 03:09:21 GMT 2025","passed","Tue Apr 29 03:09:21 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","414","Check the login functionality with blank username and some password","chromium","Tue Apr 29 03:09:21 GMT 2025","passed","Tue Apr 29 03:09:22 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","831","User should be able to see added item in my shopping cart page","chromium","Tue Apr 29 03:09:18 GMT 2025","passed","Tue Apr 29 03:09:18 GMT 2025","Cart Swag Lab","cart.spec.ts","",""
"","422","Check whether product sort option high to low is working correctly","chromium","Tue Apr 29 03:09:23 GMT 2025","passed","Tue Apr 29 03:09:23 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","523","Check user should be able to remove an inventory to the cart","chromium","Tue Apr 29 03:09:25 GMT 2025","passed","Tue Apr 29 03:09:25 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","773","User should be able to checkout and complete purchase","chromium","Tue Apr 29 03:09:19 GMT 2025","passed","Tue Apr 29 03:09:20 GMT 2025","Checkout Swag Lab","checkout.spec.ts","",""
"","430","Check the login functionality with accepted usernames and passwords","chromium","Tue Apr 29 03:09:20 GMT 2025","passed","Tue Apr 29 03:09:20 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","449","Check the login functionality with invalid usernames and valid passwords","chromium","Tue Apr 29 03:09:21 GMT 2025","passed","Tue Apr 29 03:09:21 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","421","Check the login functionality with some username and blank password","chromium","Tue Apr 29 03:09:22 GMT 2025","passed","Tue Apr 29 03:09:22 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","433","Check whether product sort option low to high is working correctly","chromium","Tue Apr 29 03:09:22 GMT 2025","passed","Tue Apr 29 03:09:23 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","433","Check whether product sort option AZ is working correctly","chromium","Tue Apr 29 03:09:23 GMT 2025","passed","Tue Apr 29 03:09:24 GMT 2025","Produc Swag Lab","product.spec.ts","",""
