"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","425","Check the login functionality with accepted usernames and passwords","chromium","Sun Jun 08 03:26:23 GMT 2025","passed","Sun Jun 08 03:26:24 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","465","Check whether product sort option AZ is working correctly","chromium","Sun Jun 08 03:26:27 GMT 2025","passed","Sun Jun 08 03:26:28 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","486","Check the login functionality with valid usernames and invalid passwords","chromium","Sun Jun 08 03:26:24 GMT 2025","passed","Sun Jun 08 03:26:24 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","460","Check whether product sort option high to low is working correctly","chromium","Sun Jun 08 03:26:27 GMT 2025","passed","Sun Jun 08 03:26:27 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","807","User should be able to checkout and complete purchase","chromium","Sun Jun 08 03:26:23 GMT 2025","passed","Sun Jun 08 03:26:23 GMT 2025","Checkout Swag Lab","checkout.spec.ts","",""
"","572","Check user should be able to remove an inventory to the cart","chromium","Sun Jun 08 03:26:29 GMT 2025","passed","Sun Jun 08 03:26:29 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","447","Check the login functionality with blank username and password","chromium","Sun Jun 08 03:26:25 GMT 2025","passed","Sun Jun 08 03:26:25 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","463","Check whether product sort option ZA is working correctly","chromium","Sun Jun 08 03:26:28 GMT 2025","passed","Sun Jun 08 03:26:28 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","459","Check the login functionality with invalid usernames and valid passwords","chromium","Sun Jun 08 03:26:24 GMT 2025","passed","Sun Jun 08 03:26:25 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","531","Check user should be able to add an inventory to the cart","chromium","Sun Jun 08 03:26:28 GMT 2025","passed","Sun Jun 08 03:26:29 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","922","User should be able to see added item in my shopping cart page","chromium","Sun Jun 08 03:26:21 GMT 2025","passed","Sun Jun 08 03:26:22 GMT 2025","Cart Swag Lab","cart.spec.ts","",""
"","445","Check whether product sort option low to high is working correctly","chromium","Sun Jun 08 03:26:26 GMT 2025","passed","Sun Jun 08 03:26:27 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","455","Check the login functionality with blank username and some password","chromium","Sun Jun 08 03:26:25 GMT 2025","passed","Sun Jun 08 03:26:26 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","442","Check the login functionality with some username and blank password","chromium","Sun Jun 08 03:26:26 GMT 2025","passed","Sun Jun 08 03:26:26 GMT 2025","Login to Swag lab page","login.spec.ts","",""
