"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","420","Check whether product sort option low to high is working correctly","chromium","Thu Jan 30 02:43:56 GMT 2025","passed","Thu Jan 30 02:43:56 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","436","Check the login functionality with blank username and password","chromium","Thu Jan 30 02:43:55 GMT 2025","passed","Thu Jan 30 02:43:55 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","438","Check the login functionality with invalid usernames and valid passwords","chromium","Thu Jan 30 02:43:54 GMT 2025","passed","Thu Jan 30 02:43:55 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","790","User should be able to checkout and complete purchase","chromium","Thu Jan 30 02:43:53 GMT 2025","passed","Thu Jan 30 02:43:53 GMT 2025","Checkout Swag Lab","checkout.spec.ts","",""
"","405","Check the login functionality with accepted usernames and passwords","chromium","Thu Jan 30 02:43:53 GMT 2025","passed","Thu Jan 30 02:43:54 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","523","Check user should be able to remove an inventory to the cart","chromium","Thu Jan 30 02:43:58 GMT 2025","passed","Thu Jan 30 02:43:59 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","480","Check user should be able to add an inventory to the cart","chromium","Thu Jan 30 02:43:58 GMT 2025","passed","Thu Jan 30 02:43:58 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","444","Check whether product sort option ZA is working correctly","chromium","Thu Jan 30 02:43:57 GMT 2025","passed","Thu Jan 30 02:43:58 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","434","Check the login functionality with valid usernames and invalid passwords","chromium","Thu Jan 30 02:43:54 GMT 2025","passed","Thu Jan 30 02:43:54 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","764","User should be able to see added item in my shopping cart page","chromium","Thu Jan 30 02:43:52 GMT 2025","passed","Thu Jan 30 02:43:52 GMT 2025","Cart Swag Lab","cart.spec.ts","",""
"","406","Check the login functionality with blank username and some password","chromium","Thu Jan 30 02:43:55 GMT 2025","passed","Thu Jan 30 02:43:56 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","408","Check the login functionality with some username and blank password","chromium","Thu Jan 30 02:43:56 GMT 2025","passed","Thu Jan 30 02:43:56 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","426","Check whether product sort option AZ is working correctly","chromium","Thu Jan 30 02:43:57 GMT 2025","passed","Thu Jan 30 02:43:57 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","428","Check whether product sort option high to low is working correctly","chromium","Thu Jan 30 02:43:56 GMT 2025","passed","Thu Jan 30 02:43:57 GMT 2025","Produc Swag Lab","product.spec.ts","",""
