"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","460","Check whether product sort option AZ is working correctly","chromium","Wed Mar 19 02:59:49 GMT 2025","passed","Wed Mar 19 02:59:49 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","444","Check whether product sort option high to low is working correctly","chromium","Wed Mar 19 02:59:48 GMT 2025","passed","Wed Mar 19 02:59:49 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","409","Check the login functionality with accepted usernames and passwords","chromium","Wed Mar 19 02:59:45 GMT 2025","passed","Wed Mar 19 02:59:46 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","574","Check user should be able to remove an inventory to the cart","chromium","Wed Mar 19 02:59:50 GMT 2025","passed","Wed Mar 19 02:59:51 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","455","Check the login functionality with invalid usernames and valid passwords","chromium","Wed Mar 19 02:59:46 GMT 2025","passed","Wed Mar 19 02:59:46 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","458","Check whether product sort option ZA is working correctly","chromium","Wed Mar 19 02:59:49 GMT 2025","passed","Wed Mar 19 02:59:50 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","826","User should be able to see added item in my shopping cart page","chromium","Wed Mar 19 02:59:43 GMT 2025","passed","Wed Mar 19 02:59:44 GMT 2025","Cart Swag Lab","cart.spec.ts","",""
"","457","Check whether product sort option low to high is working correctly","chromium","Wed Mar 19 02:59:48 GMT 2025","passed","Wed Mar 19 02:59:48 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","813","User should be able to checkout and complete purchase","chromium","Wed Mar 19 02:59:44 GMT 2025","passed","Wed Mar 19 02:59:45 GMT 2025","Checkout Swag Lab","checkout.spec.ts","",""
"","520","Check user should be able to add an inventory to the cart","chromium","Wed Mar 19 02:59:50 GMT 2025","passed","Wed Mar 19 02:59:50 GMT 2025","Produc Swag Lab","product.spec.ts","",""
"","444","Check the login functionality with blank username and some password","chromium","Wed Mar 19 02:59:47 GMT 2025","passed","Wed Mar 19 02:59:47 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","440","Check the login functionality with some username and blank password","chromium","Wed Mar 19 02:59:47 GMT 2025","passed","Wed Mar 19 02:59:48 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","452","Check the login functionality with valid usernames and invalid passwords","chromium","Wed Mar 19 02:59:46 GMT 2025","passed","Wed Mar 19 02:59:46 GMT 2025","Login to Swag lab page","login.spec.ts","",""
"","448","Check the login functionality with blank username and password","chromium","Wed Mar 19 02:59:46 GMT 2025","passed","Wed Mar 19 02:59:47 GMT 2025","Login to Swag lab page","login.spec.ts","",""
